animal_type,primary_color,sex,dob,intake_condition,intake_type,intake_date,outcome_date,outcome_type,outcome_group,age_at_intake
dog,white,Female,2013-02-21,ill mild,stray,2023-02-20,2023-02-26,euthanasia,Not Adopted,12.145205479452056
cat,black,Female,2014-12-18,injured  severe,stray,2018-12-18,2019-01-13,rescue,Adopted,10.323287671232876
rabbit,black,Neutered,2023-04-19,normal,stray,2024-10-18,2024-11-15,adoption,Adopted,1.9835616438356165
other,gray,Unknown,2019-04-12,under age/weight,wildlife,2019-06-12,2019-06-12,rescue,Adopted,6.005479452054795
cat,black,Unknown,2017-08-21,under age/weight,stray,2017-09-21,2017-09-23,rescue,Adopted,7.646575342465753
dog,cream,Spayed,2007-12-15,aged,owner surrender,2024-12-15,2024-12-21,rescue,Adopted,17.336986301369862
cat,gray tabby,Female,2015-01-11,normal,stray,2018-01-11,2018-01-17,transfer,Not Adopted,10.257534246575343
cat,gray tabby,Unknown,2020-08-10,under age/weight,stray,2020-08-12,2020-08-13,rescue,Adopted,4.673972602739726
cat,brown  tabby,Unknown,2018-08-12,under age/weight,stray,2018-09-12,2018-09-12,euthanasia,Not Adopted,6.671232876712328
cat,brown  tabby,Unknown,2018-08-12,under age/weight,stray,2018-09-12,2018-09-12,euthanasia,Not Adopted,6.671232876712328
dog,brown,Neutered,2023-09-28,normal,stray,2024-09-26,2024-10-03,rescue,Adopted,1.5397260273972602
dog,brown,Male,2015-12-20,normal,stray,2018-12-20,2018-12-26,transfer,Not Adopted,9.317808219178081
dog,brown,Spayed,2022-06-02,normal,owner surrender,2024-01-03,2024-01-06,rescue,Adopted,2.863013698630137
cat,brown  tabby,Spayed,2021-09-07,ill mild,stray,2023-09-07,2023-12-10,adoption,Adopted,3.5972602739726027
guinea pig,black,Female,2024-06-25,normal,owner surrender,2024-08-30,2024-09-05,adoption,Adopted,0.7972602739726027
guinea pig,white,Female,2024-06-25,normal,owner surrender,2024-08-30,2024-09-05,adoption,Adopted,0.7972602739726027
cat,gray,Neutered,2018-09-01,normal,owner surrender,2024-05-26,2024-06-08,adoption,Adopted,6.616438356164384
dog,white,Neutered,2023-04-06,normal,stray,2024-04-06,2024-04-12,adoption,Adopted,2.0191780821917806
dog,white,Male,2022-12-01,normal,owner surrender,2023-03-16,2023-03-16,transfer,Not Adopted,2.3643835616438356
dog,tricolor,Male,2023-01-16,normal,owner surrender,2023-03-16,2023-03-16,transfer,Not Adopted,2.2383561643835614
dog,brown,Male,2022-12-01,normal,owner surrender,2023-03-16,2023-03-16,transfer,Not Adopted,2.3643835616438356
wild,gray,Unknown,2016-01-29,injured  severe,wildlife,2019-01-29,2019-01-29,euthanasia,Not Adopted,9.208219178082192
cat,brown  tabby,Unknown,2017-05-25,under age/weight,stray,2017-06-25,2017-06-25,euthanasia,Not Adopted,7.887671232876713
cat,brown  tabby,Male,2014-01-11,injured  severe,stray,2018-01-11,2018-01-11,died,Not Adopted,11.257534246575343
bird,white,Unknown,2021-05-24,injured  mild,stray,2022-05-24,2022-05-26,adoption,Adopted,3.8876712328767122
bird,white,Unknown,2020-01-15,normal,stray,2021-01-15,2021-01-22,rescue,Adopted,5.243835616438356
cat,gray,Spayed,2010-03-06,normal,safe keep,2019-07-02,2019-07-10,return to owner,Not Adopted,15.112328767123287
bird,white,Unknown,2023-11-14,injured  severe,wildlife,2024-11-14,2024-11-14,transfer,Not Adopted,1.4109589041095891
dog,gray,Spayed,2020-09-18,normal,stray,2021-09-18,2021-10-02,adoption,Adopted,4.567123287671233
cat,black,Female,2014-03-25,ill mild,stray,2017-03-25,2017-03-25,euthanasia,Not Adopted,11.057534246575342
