animal_type,primary_color,sex,dob,intake_condition,intake_type,intake_date,outcome_date,outcome_type,outcome_group,age_at_intake
dog,white,Female,2013-02-21,ill mild,stray,2023-02-20,2023-02-26,euthanasia,Not Adopted,12.101369863013698
cat,black,Female,2014-12-18,injured  severe,stray,2018-12-18,2019-01-13,rescue,Adopted,10.27945205479452
rabbit,black,Neutered,2023-04-19,normal,stray,2024-10-18,2024-11-15,adoption,Adopted,1.9397260273972603
other,gray,Unknown,2019-04-12,under age/weight,wildlife,2019-06-12,2019-06-12,rescue,Adopted,5.961643835616439
cat,black,Unknown,2017-08-21,under age/weight,stray,2017-09-21,2017-09-23,rescue,Adopted,7.602739726027397
dog,cream,Spayed,2007-12-15,aged,owner surrender,2024-12-15,2024-12-21,rescue,Adopted,17.293150684931508
cat,gray tabby,Female,2015-01-11,normal,stray,2018-01-11,2018-01-17,transfer,Not Adopted,10.213698630136987
cat,gray tabby,Unknown,2020-08-10,under age/weight,stray,2020-08-12,2020-08-13,rescue,Adopted,4.63013698630137
cat,brown  tabby,Unknown,2018-08-12,under age/weight,stray,2018-09-12,2018-09-12,euthanasia,Not Adopted,6.627397260273972
cat,brown  tabby,Unknown,2018-08-12,under age/weight,stray,2018-09-12,2018-09-12,euthanasia,Not Adopted,6.627397260273972
dog,brown,Neutered,2023-09-28,normal,stray,2024-09-26,2024-10-03,rescue,Adopted,1.4958904109589042
dog,brown,Male,2015-12-20,normal,stray,2018-12-20,2018-12-26,transfer,Not Adopted,9.273972602739725
dog,brown,Spayed,2022-06-02,normal,owner surrender,2024-01-03,2024-01-06,rescue,Adopted,2.819178082191781
cat,brown  tabby,Spayed,2021-09-07,ill mild,stray,2023-09-07,2023-12-10,adoption,Adopted,3.5534246575342467
guinea pig,black,Female,2024-06-25,normal,owner surrender,2024-08-30,2024-09-05,adoption,Adopted,0.7534246575342466
guinea pig,white,Female,2024-06-25,normal,owner surrender,2024-08-30,2024-09-05,adoption,Adopted,0.7534246575342466
cat,gray,Neutered,2018-09-01,normal,owner surrender,2024-05-26,2024-06-08,adoption,Adopted,6.572602739726028
dog,white,Neutered,2023-04-06,normal,stray,2024-04-06,2024-04-12,adoption,Adopted,1.9753424657534246
dog,white,Male,2022-12-01,normal,owner surrender,2023-03-16,2023-03-16,transfer,Not Adopted,2.3205479452054796
dog,tricolor,Male,2023-01-16,normal,owner surrender,2023-03-16,2023-03-16,transfer,Not Adopted,2.1945205479452055
dog,brown,Male,2022-12-01,normal,owner surrender,2023-03-16,2023-03-16,transfer,Not Adopted,2.3205479452054796
wild,gray,Unknown,2016-01-29,injured  severe,wildlife,2019-01-29,2019-01-29,euthanasia,Not Adopted,9.164383561643836
cat,brown  tabby,Unknown,2017-05-25,under age/weight,stray,2017-06-25,2017-06-25,euthanasia,Not Adopted,7.843835616438356
cat,brown  tabby,Male,2014-01-11,injured  severe,stray,2018-01-11,2018-01-11,died,Not Adopted,11.213698630136987
bird,white,Unknown,2021-05-24,injured  mild,stray,2022-05-24,2022-05-26,adoption,Adopted,3.8438356164383563
bird,white,Unknown,2020-01-15,normal,stray,2021-01-15,2021-01-22,rescue,Adopted,5.2
cat,gray,Spayed,2010-03-06,normal,safe keep,2019-07-02,2019-07-10,return to owner,Not Adopted,15.068493150684931
bird,white,Unknown,2023-11-14,injured  severe,wildlife,2024-11-14,2024-11-14,transfer,Not Adopted,1.367123287671233
dog,gray,Spayed,2020-09-18,normal,stray,2021-09-18,2021-10-02,adoption,Adopted,4.523287671232877
cat,black,Female,2014-03-25,ill mild,stray,2017-03-25,2017-03-25,euthanasia,Not Adopted,11.013698630136986
cat,calico dilute,Female,2018-06-13,under age/weight,stray,2018-07-03,2018-07-04,euthanasia,Not Adopted,6.791780821917809
cat,brown  tabby,Unknown,2017-05-13,under age/weight,stray,2017-06-06,2017-06-06,euthanasia,Not Adopted,7.876712328767123
dog,tan,Male,2014-02-08,normal,stray,2018-02-08,2018-02-14,transfer,Not Adopted,11.136986301369863
cat,black,Neutered,2014-09-12,feral,stray,2017-09-12,2018-01-24,rescue,Adopted,10.545205479452054
cat,orange tabby,Unknown,2015-10-04,injured  severe,stray,2018-10-04,2018-10-04,euthanasia,Not Adopted,9.484931506849316
cat,white,Neutered,2017-01-09,fractious,stray,2020-01-09,2020-01-14,"shelter, neuter, return",Not Adopted,8.216438356164383
dog,white,Male,2015-10-20,normal,stray,2017-10-20,2017-10-27,transfer,Not Adopted,9.441095890410958
other,brown,Unknown,2017-02-11,injured  severe,wildlife,2018-02-11,2018-02-11,euthanasia,Not Adopted,8.126027397260273
dog,gray,Female,2019-08-09,normal,stray,2021-08-08,2021-08-11,return to owner,Not Adopted,5.635616438356164
dog,black,Female,2018-05-08,normal,stray,2018-08-08,2018-08-15,transfer,Not Adopted,6.890410958904109
dog,black,Neutered,2021-10-10,normal,stray,2023-10-08,2024-03-10,adoption,Adopted,3.463013698630137
cat,black,Female,2017-04-13,normal,stray,2017-07-13,2017-07-25,rescue,Adopted,7.958904109589041
cat,brown  tabby,Female,2017-04-13,normal,stray,2017-07-13,2017-07-25,rescue,Adopted,7.958904109589041
cat,brown  tabby,Male,2023-05-15,under age/weight,stray,2023-06-04,2023-06-05,euthanasia,Not Adopted,1.8684931506849316
cat,brown  tabby,Male,2023-05-15,under age/weight,stray,2023-06-04,2023-07-13,adoption,Adopted,1.8684931506849316
cat,gray tabby,Male,2023-05-15,under age/weight,stray,2023-06-04,2023-06-14,rescue,Adopted,1.8684931506849316
cat,brown  tabby,Female,2016-11-14,normal,confiscate,2021-12-12,2021-12-14,return to rescue,Not Adopted,8.36986301369863
dog,brown,Neutered,2012-03-01,behavior  severe,owner surrender,2020-03-01,2020-04-21,rescue,Adopted,13.07945205479452
cat,white,Male,2020-05-22,normal,stray,2020-08-22,2020-08-29,transfer,Not Adopted,4.8493150684931505
dog,gray,Spayed,2017-07-18,aged,stray,2022-07-18,2023-04-08,adoption,Adopted,7.695890410958904
bird,black,Unknown,2017-05-01,ill severe,stray,2018-05-01,2018-05-08,adoption,Adopted,7.909589041095891
cat,black,Male,2021-06-13,normal,welfare seized,2022-01-13,2022-01-29,return to owner,Not Adopted,3.789041095890411
dog,black,Spayed,2018-11-08,normal,stray,2020-11-08,2020-11-30,transport,Not Adopted,6.3863013698630136
cat,gray,Spayed,2023-03-30,ill mild,stray,2023-05-24,2023-05-27,adoption,Adopted,1.9945205479452055
cat,gray,Male,2017-09-12,fractious,stray,2019-09-12,2019-09-26,euthanasia,Not Adopted,7.542465753424658
cat,tortie,Spayed,2014-05-30,normal,owner surrender,2019-05-30,2019-06-02,transfer,Not Adopted,10.832876712328767
cat,black,Female,2017-02-06,under age/weight,owner surrender,2017-02-23,2017-02-23,transfer,Not Adopted,8.139726027397261
cat,white,Male,2017-02-06,under age/weight,owner surrender,2017-02-23,2017-02-23,transfer,Not Adopted,8.139726027397261
cat,gray tabby,Male,2017-01-30,under age/weight,owner surrender,2017-02-23,2017-02-24,rescue,Adopted,8.158904109589042
dog,blue,Male,2015-07-08,normal,stray,2017-07-08,2017-09-01,euthanasia,Not Adopted,9.726027397260275
cat,calico,Female,2016-10-23,normal,owner surrender,2017-02-23,2017-02-23,transfer,Not Adopted,8.43013698630137
cat,tortie,Female,2017-05-13,under age/weight,stray,2017-06-13,2017-06-15,rescue,Adopted,7.876712328767123
dog,tan,Neutered,2007-03-27,injured  mild,stray,2018-03-27,2018-03-31,euthanasia,Not Adopted,18.013698630136986
dog,brown brindle,Neutered,2021-12-12,normal,stray,2022-11-12,2022-11-30,adoption,Adopted,3.2904109589041095
dog,black,Male,2020-12-15,normal,stray,2022-12-15,2022-12-15,transfer,Not Adopted,4.282191780821917
dog,white,Female,2011-12-10,normal,stray,2018-12-19,2018-12-20,return to owner,Not Adopted,13.304109589041095
